Dataset,Chemical,CAS,KE1_call,KE2_call,KE3_call,LLNA_call,pattern,n_pos,concordant,misclassified
SkinSensDB,"Toluene 2,4-diisocyanate",584-84-9,1,1,1,1,111,3,True,0
SkinSensDB,2-(4-Amino-2nitro-phenylamino)-ethanol,2871-01-4,1,0,1,1,101,2,False,1
SkinSensDB,Dihydromyrcenol,18479-58-8,0,0,0,1,000,0,True,1
SkinSensDB,"2-Methyl-1,3-benzenediol",608-25-3,1,1,1,1,111,3,True,0
SkinSensDB,"1,2,4-trihydroxybenzene",533-73-3,1,1,1,1,111,3,True,0
SkinSensDB,"1,1,3-Trimethyl-2-formylcyclohexa-2,4-diene (Safranal)",116-26-7,1,1,1,1,111,3,True,0
SkinSensDB,"1,2,4-Benzenetricarboxylic anhydride (Trimellitic anhydride)",552-30-7,1,0,1,1,101,2,False,1
SkinSensDB,2-Pheny1propiona1dehyde,93-53-8,1,1,1,1,111,3,True,0
SkinSensDB,Penicillin,61-33-6,1,0,0,1,100,1,False,1
SkinSensDB,"2,4-Heptadienal",5910-85-0or4313-03-5,1,1,1,1,111,3,True,0
SkinSensDB,"1,4-Benzoquinone",106-51-4,1,1,1,1,111,3,True,0
SkinSensDB,Chloroantrol,57074-21-2,1,1,1,1,111,3,True,0
SkinSensDB,Diethyl sulfate,64-67-5,1,1,1,1,111,3,True,0
SkinSensDB,DL-lactic acid,50-21-5or598-82-3,1,0,0,1,100,1,False,1
SkinSensDB,Isopropanol,67-63-0,0,0,0,1,000,0,True,1
SkinSensDB,EGDM (Ethyleneglycol dimethacrylate),97-90-5,1,1,1,1,111,3,True,0
SkinSensDB,Ethylene diamine,107-15-3,1,1,1,1,111,3,True,0
SkinSensDB,"Methyl-2,3-hexanedione",13706-86-0,1,1,1,1,111,3,True,0
SkinSensDB,2-Ethylbutyraldehyde,97-96-1,1,1,0,1,110,2,False,1
SkinSensDB,1-Bromohexane,111-25-1,1,1,0,1,110,2,False,1
SkinSensDB,2-Amino-phenol,95-55-6,1,1,1,1,111,3,True,0
SkinSensDB,Abietic acid,514-10-3,1,1,1,1,111,3,True,0
SkinSensDB,DihydroeugenoI(2-Methoxy-4-propyIphenoI),2785-87-7,0,1,1,1,011,2,False,1
